id,car_name,yr_mfr,date_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,emi_starts_from,booking_down_pymnt,total_owners
188,honda jazz,2012,2021-03-15T10:43:09.279,petrol,110108,331799,new delhi,169,hatchback,manual,1.2 select i vtec,TRUE,7707,49770,1
189,toyota innova crysta,2018,2021-04-08T07:35:37.771,diesel,52726,1972932,mumbai,1802,suv,automatic,2.8 zx at 7 str,TRUE,45826,295940,1
190,maruti alto 800,2014,2021-03-04T11:31:31.254,petrol,55269,241499,pune,554,hatchback,manual,lxi,FALSE,5609,36225,1
191,maruti swift dzire,2012,2021-04-10T07:47:55.784,petrol,56269,408899,pune,643,sedan,manual,vxi 1.2 bs iv,FALSE,9498,61335,1
192,renault duster,2013,2021-04-13T09:34:35.496,diesel,109600,413499,ahmedabad,407,suv,manual,85 ps rxl opt,TRUE,9605,62025,1
193,hyundai i20,2012,2021-03-19T05:18:33.071,petrol,62165,312699,ahmedabad,2084,hatchback,manual,magna o 1.2,TRUE,7263,46905,2
194,mercedes benz c class,2009,2021-02-15T13:30:40.026,petrol,58102,554499,bengaluru,3575,luxury sedan,manual,230 avantgarde,TRUE,12880,83175,2
195,honda city,2014,2021-02-15T07:04:06.849,diesel,82735,524699,hyderabad,2691,sedan,manual,s mt diesel,TRUE,12187,78705,1
196,maruti s presso,2019,2021-04-29T08:15:00.249,petrol,30598,441299,hyderabad,538,hatchback,,vxi plus,TRUE,10250,66195,1
197,maruti alto,2012,2020-12-18T10:11:36.09,petrol,35190,212999,chennai,1791,hatchback,manual,lxi,TRUE,4947,31950,2
198,maruti swift dzire,2014,2021-03-04T09:24:25.189,diesel,82140,374799,new delhi,1280,sedan,manual,vdi bs iv,TRUE,8706,56220,2
199,maruti alto k10,2018,2020-11-23T08:25:07.456,petrol,6193,409199,bengaluru,466,hatchback,,vxi (o) amt,TRUE,9505,61380,1
200,maruti swift,2008,2021-05-01T08:10:13.822,petrol,48435,246199,hyderabad,3416,hatchback,,vxi 1.3 abs,TRUE,5719,36930,2
201,maruti swift dzire,2013,2020-09-29T06:57:42.806,diesel,30011,517499,bengaluru,1596,sedan,manual,zdi,TRUE,12020,77625,1
202,volkswagen vento,2013,2021-01-23T12:14:12.354,petrol,68210,401000,mumbai,127,sedan,automatic,highline petrol at,FALSE,9314,60150,1
203,honda amaze,2019,2021-03-09T14:20:11.104,petrol,21863,625799,ahmedabad,1968,sedan,,1.2 v mt i-vtec,TRUE,14536,93870,1
204,maruti vitara brezza,2018,2021-03-06T11:28:20.967,diesel,55960,788399,bengaluru,935,suv,manual,vdi opt,TRUE,18313,118260,1
205,maruti alto 800,2014,2021-03-08T04:53:54.677,petrol & cng,82605,244499,pune,1567,hatchback,manual,lxi cng,FALSE,5679,36675,2
206,renault kwid,2018,2021-03-08T06:20:50.584,petrol,24872,364899,chennai,1817,hatchback,manual,1.0 rxt opt,TRUE,8476,54735,1
207,hyundai i10,2008,2021-02-25T08:02:09.544,petrol,78054,235999,hyderabad,518,hatchback,manual,magna 1.1 irde2,TRUE,5482,35400,1
208,maruti eeco,2014,2021-04-05T17:56:20.972,petrol & cng,39790,371599,pune,610,suv,manual,5 str cng with ac plushtr,TRUE,8631,55740,1
209,maruti swift dzire,2014,2021-01-19T13:23:04.324,petrol,241014,315299,ghaziabad,905,sedan,manual,vxi 1.2 bs iv,TRUE,7324,47295,1
210,hyundai grand i10 nios,2020,2021-03-07T11:20:21.11,petrol,2259,766099,bengaluru,1487,hatchback,,sportz 1.2 at,TRUE,17795,114915,1
211,renault kwid,2018,2021-02-17T05:24:01.21,petrol,21973,325299,ahmedabad,1030,hatchback,manual,1.0 rxt,FALSE,7556,48795,1
212,hyundai i20,2014,2021-03-27T13:03:07.038,petrol,39007,432099,ahmedabad,2259,hatchback,manual,sportz 1.2 vtvt,TRUE,10037,64815,1
213,maruti swift dzire,2009,2021-02-23T14:37:29.002,petrol,90418,209599,new delhi,808,sedan,manual,vxi 1.3,TRUE,4868,31440,1
214,volkswagen vento,2017,2021-03-19T10:18:36.153,diesel,49616,773199,chennai,2456,sedan,automatic,highline tdi at,TRUE,17959,115980,1
215,maruti s cross,2018,2021-03-09T13:03:48.162,diesel,44813,803399,ahmedabad,2338,suv,manual,alpha shvs,TRUE,18661,120510,1
216,hyundai grand i10,2015,2021-04-10T13:03:47.845,petrol,10520,557099,bengaluru,553,hatchback,manual,asta at 1.2 kappa vtvt,TRUE,12940,83565,1
217,hyundai eon,2012,2021-04-10T08:18:35.74,petrol,66327,196999,ahmedabad,1154,hatchback,manual,d lite plus,FALSE,4576,29550,1
218,maruti alto k10,2018,2021-02-17T12:51:14.072,petrol,9861,436999,bengaluru,593,hatchback,,vxi (o) amt,TRUE,10150,65550,1
219,maruti alto,2009,2021-02-21T06:43:36.32,petrol,58959,201899,bengaluru,561,hatchback,manual,xcite,TRUE,4690,30285,2
220,maruti dzire,2019,2021-04-08T18:54:05.449,petrol,5115,625199,noida,2872,sedan,manual,vxi,TRUE,14522,93780,1
221,nissan terrano,2014,2019-03-20T14:27:29.53,diesel,64628,500000,faridabad,420,suv,manual,xl plus 85 ps deisel,FALSE,11614,75000,1
222,maruti alto,2019,2021-03-24T11:11:21.786,petrol,27799,338099,ahmedabad,354,hatchback,manual,lxi,TRUE,7853,50715,1
223,volkswagen polo,2016,2021-04-24T08:19:20.537,petrol,95987,552599,hyderabad,917,hatchback,manual,highline1.2l petrol,TRUE,12835,82890,1
224,honda amaze,2014,2021-03-20T05:58:06.368,petrol,72201,371499,new delhi,1152,sedan,manual,1.2 sx mt i vtec,TRUE,8629,55725,1
225,maruti alto k10,2010,2021-03-23T07:06:44.812,petrol,56095,240599,bengaluru,696,hatchback,manual,vxi,TRUE,5589,36090,1
226,hyundai i20 active,2017,2021-03-14T18:30:12.009,petrol,10754,637399,pune,1326,hatchback,manual,1.2 sx,TRUE,14805,95610,1
227,hyundai grand i10,2017,2021-03-13T00:46:49.557,petrol,71494,386599,new delhi,963,hatchback,manual,magna 1.2 kappa vtvt,FALSE,8980,57990,1
228,maruti eeco,2018,2019-09-09T06:55:42.281,petrol & cng,52420,380000,new delhi,139,suv,manual,5 str cng with ac plushtr,TRUE,8826,57000,1
229,hyundai i20,2012,2021-01-30T07:31:04.499,diesel,138000,264199,gurgaon,1500,hatchback,manual,sportz o 1.4 crdi,TRUE,6137,39630,1
230,hyundai i10,2009,2021-01-28T09:12:50.375,petrol,101931,221899,hyderabad,1909,hatchback,manual,sportz 1.2,TRUE,5154,33285,2
231,renault kwid,2016,2021-03-07T07:03:50.007,petrol,57111,251299,new delhi,688,hatchback,manual,rxt,TRUE,5837,37695,1
232,honda wr-v,2017,2021-04-05T11:42:23.025,petrol,23780,723199,mumbai,703,suv,manual,1.2 i-vtec vx mt,FALSE,16798,108480,1
233,maruti ertiga,2014,2021-02-13T13:16:39.258,diesel,116278,593599,bengaluru,814,suv,manual,vdi abs,TRUE,13788,89040,2
234,maruti ritz,2011,2021-03-04T13:56:50.236,petrol,74518,218899,new delhi,468,hatchback,manual,vxi bs iv,TRUE,5084,32835,1
235,honda br-v,2016,2021-05-29T08:12:40.984,diesel,40746,775000,mumbai,10,suv,manual,1.5 i- dtec s,FALSE,18001,116250,1
236,hyundai i20,2013,2021-04-16T11:55:25.271,petrol,57900,324199,new delhi,777,hatchback,manual,magna o 1.2,TRUE,7530,48630,1
237,honda amaze,2013,2021-03-09T11:43:42.998,petrol,91004,380699,mumbai,454,sedan,manual,1.2 smt i vtec,TRUE,8843,57105,1
238,hyundai elite i20,2018,2021-02-05T08:17:05.999,petrol,11962,659499,hyderabad,2269,hatchback,manual,asta 1.2,TRUE,15319,98925,1
239,maruti alto 800,2013,2021-02-26T11:09:56.889,petrol,41967,249299,bengaluru,566,hatchback,manual,lxi,TRUE,5791,37395,3
240,toyota innova,2008,2021-04-04T06:11:42.532,diesel,182406,391999,pune,1875,suv,manual,2.5 g4 8 str,TRUE,9105,58800,2
241,toyota etios,2011,2021-01-22T14:28:15.631,petrol,156589,207499,new delhi,1181,sedan,manual,g,TRUE,4820,31125,1
242,maruti ertiga,2018,2021-03-30T14:09:37.408,petrol,3783,882599,mumbai,2547,suv,,vxi smart hybrid,TRUE,20501,132390,1
243,maruti baleno,2020,2021-03-22T09:53:16.522,petrol,6679,622999,noida,15999,hatchback,manual,delta 1.2 k12,TRUE,14471,93450,1
244,volkswagen polo,2016,2021-03-22T14:09:06.918,petrol,17430,772499,bengaluru,2811,hatchback,automatic,gt tsi 1.2 petrol at,TRUE,17943,115875,2
245,maruti alto k10,2015,2021-03-24T13:19:06.924,petrol,12593,394199,bengaluru,634,hatchback,,vxi amt,TRUE,9156,59130,2
246,hyundai xcent,2015,2021-03-29T12:59:11.872,petrol,91984,421099,hyderabad,1156,sedan,manual,s 1.2,TRUE,9781,63165,1
247,toyota innova,2013,2021-03-30T13:31:41.598,diesel,287219,676699,gurgaon,133,suv,manual,2.5 gx 7 str bs iv,TRUE,15718,101505,1
248,maruti alto,2012,2021-03-14T06:47:18.191,petrol,64259,252199,hyderabad,714,hatchback,manual,lxi,TRUE,5858,37830,1
249,hyundai i20,2011,2021-04-15T07:36:42.021,petrol,62904,387599,bengaluru,87,hatchback,manual,asta 1.2,TRUE,9003,58140,1
250,maruti alto k10,2011,2021-02-20T12:39:08.615,petrol,68153,241799,bengaluru,365,hatchback,manual,vxi,TRUE,5616,36270,2
251,maruti wagon r 1.0,2012,2021-04-01T07:32:30.371,petrol & cng,47729,289699,mumbai,478,hatchback,manual,lxi cng,TRUE,6729,43455,1
252,hyundai i20,2011,2021-03-31T07:23:17.624,petrol,18974,359199,mumbai,318,hatchback,manual,sportz 1.2 o,TRUE,8343,53880,1
253,hyundai i20,2011,2021-03-17T05:13:16.072,petrol,123568,290699,pune,656,hatchback,manual,magna o 1.2,TRUE,6752,43605,2
254,hyundai verna,2018,2020-12-28T13:45:25.057,petrol,1827,1182304,mumbai,2595,sedan,automatic,1.6 sx vtvt at (o),TRUE,27462,177346,1
255,maruti alto 800,2015,2021-02-14T08:26:01.454,petrol,30242,257499,pune,2748,hatchback,manual,lxi,FALSE,5981,38625,1
256,maruti swift,2008,2021-04-06T18:07:09.175,petrol & cng,64425,199999,pune,9411,hatchback,manual,vxi 1.3,FALSE,4645,30000,2
257,hyundai grand i10,2016,2021-03-03T13:49:46.948,petrol,2751,469999,mumbai,681,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,10917,70500,1
258,honda jazz,2012,2021-03-28T11:01:31.575,petrol,59949,335099,mumbai,755,hatchback,manual,1.2 base i vtec,TRUE,7784,50265,2
259,hyundai eon,2013,2021-04-14T05:56:26.229,petrol,25052,238299,ahmedabad,548,hatchback,manual,era plus,TRUE,5535,35745,1
260,maruti a star,2010,2021-03-09T13:33:48.527,petrol & cng,34181,199199,ghaziabad,2631,hatchback,manual,vxi,TRUE,4627,29880,1
261,maruti swift dzire,2010,2020-12-08T15:00:04.017,diesel,160205,280799,pune,914,sedan,manual,vdi bs iv,TRUE,6522,42120,2
262,maruti dzire,2017,2021-03-10T11:14:24.355,diesel,110111,467399,new delhi,1356,sedan,manual,ldi,TRUE,10857,70110,1
263,hyundai grand i10,2015,2021-02-28T15:38:23.798,petrol,58570,396499,mumbai,662,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,9210,59475,1
264,hyundai i10,2013,2021-02-27T04:58:00.397,petrol,115427,292799,chennai,746,hatchback,manual,asta 1.2 kappa2,TRUE,6801,43920,1
265,maruti alto,2007,2019-08-23T09:01:17.886,petrol,149025,81000,ghaziabad,56,hatchback,manual,lxi,FALSE,1881,12150,4
266,maruti alto,2009,2021-03-26T05:59:11.416,petrol,62353,199299,bengaluru,589,hatchback,manual,lxi,TRUE,4629,29895,3
267,hyundai i20,2013,2021-03-23T20:43:42.108,diesel,69046,378299,new delhi,536,hatchback,manual,sportz 1.4 crdi,TRUE,8787,56745,1
268,maruti swift,2013,2021-03-27T13:38:57.211,petrol,44431,481699,bengaluru,1205,hatchback,manual,vxi,TRUE,11189,72255,2
269,hyundai elite i20,2014,2021-03-09T12:29:06.173,petrol,29094,490799,hyderabad,1256,hatchback,manual,magna 1.2,TRUE,11400,73620,1
270,skoda rapid,2012,2021-03-19T11:16:23.526,diesel,81154,457799,bengaluru,3716,sedan,manual,1.6 tdi mt ambition,TRUE,10634,68670,1
271,hyundai verna,2012,2021-02-28T09:14:08.328,petrol,10253,374799,mumbai,5600,sedan,automatic,fluidic 1.6 ex vtvt at,TRUE,8706,56220,2
272,toyota corolla altis,2008,2021-04-04T12:21:23.2,petrol,222344,228699,mumbai,37,luxury sedan,,1.8 g,FALSE,5312,34305,2
273,maruti alto 800,2016,2021-03-16T08:05:06.943,petrol,32339,277099,new delhi,920,hatchback,manual,vxi,TRUE,6436,41565,1
274,maruti celerio,2014,2021-03-15T18:34:05.423,petrol,30338,362699,mumbai,474,hatchback,manual,zxi opt,TRUE,8425,54405,1
275,hyundai verna,2019,2021-03-02T14:13:30.448,petrol,22647,822899,mumbai,1501,sedan,manual,1.4 vtvt ex,FALSE,19114,123435,1
276,maruti vitara brezza,2018,2021-01-14T12:56:41.809,diesel,12608,855999,bengaluru,1657,suv,manual,vdi,TRUE,19883,128400,1
277,maruti swift,2015,2021-04-16T08:04:51.397,diesel,92086,419699,new delhi,1000,hatchback,manual,vdi abs,TRUE,9749,62955,1
278,hyundai santro xing,2006,2019-08-23T05:56:51.172,petrol & cng,106500,70000,new delhi,64,hatchback,manual,xo erlx euro iii,FALSE,1626,10500,1
279,mg hector,2019,2021-04-03T17:03:49.186,diesel,37965,1826684,mumbai,1367,,,sharp 2.0 diesel,TRUE,42429,274003,1
280,maruti alto 800,2017,2019-03-29T14:29:42.753,petrol,5359,270000,ahmedabad,420,hatchback,manual,lxi,FALSE,6271,40500,1
281,maruti s cross,2015,2021-02-19T06:09:44.41,diesel,64085,680199,bengaluru,927,suv,manual,zeta 1.3,TRUE,15799,102030,1
282,maruti wagon r 1.0,2015,2021-03-22T05:54:39.914,petrol & cng,19570,374199,mumbai,1649,hatchback,,lxi cng avance limited edition,TRUE,8692,56130,1
283,hyundai creta,2015,2021-03-28T06:38:02.828,diesel,58003,841699,new delhi,1892,suv,,1.6 sx (o) crdi,TRUE,19551,126255,1
284,maruti celerio,2018,2020-11-22T10:58:21.723,petrol,13638,541799,bengaluru,669,hatchback,manual,zxi,TRUE,12585,81270,1
285,maruti ritz,2009,2021-03-11T12:50:38.788,petrol,72623,180699,mumbai,1302,hatchback,manual,vxi bs iv,TRUE,4197,27105,1
286,maruti swift dzire,2012,2021-01-25T10:01:13.871,diesel,94644,333299,new delhi,698,sedan,manual,vdi bs iv,TRUE,7742,49995,1
287,honda jazz,2009,2021-04-03T06:59:15.806,petrol,215809,202799,ghaziabad,698,hatchback,manual,1.2 base i vtec,TRUE,4711,30420,1
288,maruti wagon r 1.0,2011,2020-10-03T09:59:16.677,petrol & cng,114593,235299,hyderabad,393,hatchback,manual,lxi cng,TRUE,5465,35295,2
289,ford ikon,2004,2019-08-22T12:14:47.576,petrol,28484,50000,new delhi,243,sedan,manual,1.3 flair,FALSE,1161,7500,2
290,ford fiesta,2008,2021-02-03T10:02:14.566,petrol,155454,242499,bengaluru,2256,sedan,manual,1.6 zxi,TRUE,5633,36375,1
291,maruti ertiga,2015,2021-03-23T10:58:12.039,petrol,31048,660199,mumbai,1366,suv,manual,zxi,TRUE,15335,99030,1
292,skoda superb,2010,2021-04-03T07:01:30.605,petrol,106039,506299,hyderabad,1786,luxury sedan,manual,elegance 1.8 tsi mt,TRUE,11760,75945,1
293,maruti swift dzire,2014,2021-02-26T14:03:04.15,petrol,43981,517199,bengaluru,721,sedan,manual,zxi 1.2 bs iv,TRUE,12013,77580,1
294,datsun go plus,2017,2021-03-23T07:39:11.07,petrol,5994,393499,mumbai,1129,hatchback,manual,t,TRUE,9140,59025,1
295,maruti celerio,2014,2021-02-26T12:13:35.239,petrol,52108,380199,chennai,753,hatchback,automatic,vxi amt,TRUE,8831,57030,1
296,maruti ciaz,2015,2021-02-26T07:20:04.279,petrol,100330,537599,noida,1007,sedan,manual,zxi plus,TRUE,12487,80640,1
297,maruti alto k10,2014,2020-11-16T09:01:47.41,petrol,87237,200399,ghaziabad,375,hatchback,manual,vxi,TRUE,4655,30060,1
298,maruti alto 800,2013,2021-02-07T11:44:10.399,petrol,29454,252999,bengaluru,962,hatchback,manual,lxi,TRUE,5877,37950,2
299,maruti ertiga,2017,2021-02-18T13:14:36.564,diesel,51203,768199,pune,785,suv,manual,vdi shvs,FALSE,17843,115230,1
300,maruti vitara brezza,2017,2021-04-09T12:00:09.432,diesel,150584,731399,ahmedabad,664,suv,manual,zdi plus,TRUE,16989,109710,1
301,hyundai i10,2010,2021-02-26T06:48:48.97,petrol,87770,199699,new delhi,1159,hatchback,manual,magna 1.2 kappa2,TRUE,4639,29955,1
302,maruti swift,2012,2020-10-23T07:24:15.722,diesel,95000,260000,ahmedabad,120,,,vdi,FALSE,6039,39000,2
303,maruti ertiga,2018,2021-03-23T12:22:21.594,petrol & cng,150635,740799,ahmedabad,1709,suv,manual,vxi cng,TRUE,17207,111120,1
304,maruti swift,2009,2021-02-27T04:42:52.71,petrol,74034,246999,pune,1628,hatchback,manual,zxi 1.3,TRUE,5737,37050,2
305,honda civic,2011,2021-02-27T14:14:52.896,petrol,640251,346299,noida,5072,sedan,automatic,1.8v at sun roof,TRUE,8044,51945,2
306,maruti alto k10,2012,2021-02-03T07:45:38.825,petrol,49323,182099,mumbai,2442,hatchback,manual,vxi,TRUE,4230,27315,1
307,mahindra xuv500,2019,2021-02-17T10:09:28.228,diesel,28580,1125744,ahmedabad,1556,luxury suv,,w5 fwd,TRUE,26148,168862,1
308,honda city,2010,2021-04-09T06:31:40.407,petrol,119260,247099,pune,2363,sedan,,1.5 e mt petrol,TRUE,5739,37065,1
309,honda jazz,2016,2019-09-10T13:18:24.375,diesel,58682,500000,new delhi,355,,,1.5 sv i dtec,FALSE,11614,75000,1
310,maruti baleno,2017,2021-02-26T05:27:46.307,petrol,19792,545999,pune,1943,hatchback,manual,delta 1.2 k12,TRUE,12682,81900,1
311,maruti celerio,2014,2021-04-04T10:43:20.08,petrol,53916,398299,bengaluru,475,hatchback,automatic,vxi amt,TRUE,9251,59745,2
312,maruti wagon r 1.0,2017,2021-02-15T07:23:15.684,petrol & cng,51063,409299,mumbai,1221,hatchback,manual,lxi cng,TRUE,9507,61395,1
313,renault duster,2013,2021-03-27T10:06:28.522,diesel,79962,365099,noida,1875,suv,manual,rxz diesel 110,TRUE,8480,54765,1
314,hyundai verna,2018,2021-03-27T09:33:40.172,petrol,35859,973399,chennai,241,sedan,manual,1.6 sx vtvt,FALSE,22610,146010,1
315,maruti ritz,2014,2020-10-14T11:25:05.894,petrol,55075,269099,faridabad,2392,hatchback,manual,lxi,TRUE,6250,40365,1
316,maruti alto k10,2010,2021-03-31T15:48:20.711,petrol,63843,180699,new delhi,794,hatchback,manual,vxi,TRUE,4197,27105,3
317,maruti alto,2009,2021-04-06T07:04:07.171,petrol,89307,173699,hyderabad,852,hatchback,manual,lxi,TRUE,4035,26055,1
318,maruti ciaz,2017,2021-03-16T09:01:38.801,petrol,53935,548599,ahmedabad,167,sedan,manual,vxi plus,FALSE,12743,82290,1
319,volkswagen vento,2015,2021-04-01T12:20:33.619,petrol,22078,567599,pune,1199,sedan,,highline 1.2 tsi at,TRUE,13184,85140,2
320,maruti ignis,2017,2021-05-21T09:03:20.743,petrol,4347,500000,new delhi,524,hatchback,manual,zeta 1.2 k12,FALSE,11614,75000,2
321,honda brio,2013,2021-02-06T15:04:58.333,petrol,44622,289799,mumbai,1268,hatchback,manual,1.2 s mt i vtec,TRUE,6731,43470,1
322,maruti eeco,2020,2021-04-09T09:55:12.467,petrol,5076,481099,ahmedabad,999,suv,manual,5 str with ac plushtr,TRUE,11175,72165,1
323,honda amaze,2013,2021-02-25T12:02:52.012,petrol,20924,411499,mumbai,1783,sedan,manual,1.2 smt i vtec,TRUE,9558,61725,1
324,ford ecosport,2013,2021-02-24T15:19:32.879,diesel,111690,384299,noida,903,suv,manual,1.5titanium tdci,TRUE,8926,57645,1
325,ford figo,2014,2021-01-10T09:54:46.724,petrol,37000,375000,bengaluru,128,hatchback,,1.2 exi duratec,FALSE,8710,56250,2
326,maruti sx4,2007,2020-06-01T13:09:56.476,petrol & cng,100178,100000,pune,284,sedan,manual,zxi mt bs iv,FALSE,2323,15000,4
327,maruti sx4,2008,2021-03-08T11:23:59.342,petrol,117930,163199,new delhi,2807,sedan,manual,vxi,TRUE,3791,24480,1
328,hyundai i10,2009,2021-04-01T13:24:15.211,petrol,111095,187099,new delhi,228,hatchback,manual,magna 1.2,TRUE,4346,28065,1
329,volkswagen vento,2016,2021-03-21T09:43:31.174,petrol,96726,623899,bengaluru,1280,sedan,automatic,comfortline tsi at,TRUE,14492,93585,1
330,hyundai accent,2008,2019-08-24T11:47:39.754,petrol & cng,102602,150000,new delhi,178,sedan,manual,executive gle,TRUE,3484,22500,2
331,maruti alto 800,2016,2021-03-08T12:59:11.815,petrol,70380,259599,ahmedabad,400,hatchback,manual,lxi,TRUE,6030,38940,1
332,honda brio,2013,2021-04-17T07:22:34.127,petrol,68916,338699,mumbai,121,hatchback,manual,1.2 s mt i vtec,TRUE,7867,50805,1
333,maruti wagon r 1.0,2012,2020-08-14T13:40:35.384,petrol & cng,80909,174000,new delhi,836,hatchback,manual,lxi cng,TRUE,4042,26100,2
334,maruti swift,2010,2020-05-30T13:47:06.534,diesel,103406,152000,new delhi,310,hatchback,manual,ldi bs iv,FALSE,3531,22800,1
335,maruti ignis,2019,2021-05-01T11:30:31.919,petrol,19564,567099,chennai,173,hatchback,manual,delta 1.2 k12,TRUE,13172,85065,1
336,renault kwid,2019,2021-03-15T09:46:20.683,petrol,16685,386599,ghaziabad,2183,hatchback,manual,1.0 rxt opt,TRUE,8980,57990,1
337,maruti alto,2008,2020-05-30T13:14:47.866,petrol,90892,70000,pune,1092,hatchback,manual,lxi,FALSE,1626,10500,4
338,honda city,2010,2021-03-26T12:52:41.987,petrol,86559,431499,bengaluru,403,sedan,manual,s mt petrol,TRUE,10023,64725,2
339,hyundai verna,2013,2021-01-05T11:55:24.761,petrol,68242,367699,mumbai,2771,sedan,manual,fluidic 1.6 sx vtvt,TRUE,8541,55155,3
340,honda city,2014,2021-04-02T05:02:22.168,petrol,67597,631699,bengaluru,531,sedan,manual,v mt petrol,TRUE,14673,94755,2
341,hyundai verna,2012,2021-02-22T08:45:12.153,diesel,115457,356599,ghaziabad,796,sedan,manual,fluidic 1.6 sx crdi,TRUE,8283,53490,1
342,maruti dzire,2018,2021-01-18T07:22:56.655,diesel,52996,709499,mumbai,738,sedan,manual,vdi,FALSE,16480,106425,1
343,maruti ertiga,2013,2021-03-03T06:55:09.577,diesel,115820,456899,new delhi,1319,suv,manual,vdi abs,TRUE,10613,68535,1
344,hyundai creta,2018,2021-03-25T12:12:34.702,diesel,40049,878999,new delhi,3148,suv,,1.4 e plus crdi,TRUE,20417,131850,1
345,hyundai verna,2014,2021-04-07T13:10:26.757,petrol,39756,483899,pune,2823,sedan,manual,fluidic 1.6 sx vtvt,TRUE,11240,72585,2
346,maruti swift,2015,2021-04-10T12:29:24.109,diesel,71640,536399,hyderabad,967,hatchback,manual,vdi abs,TRUE,12459,80460,1
347,hyundai eon,2014,2021-03-01T13:31:34.916,petrol,31287,286499,bengaluru,557,hatchback,manual,d lite plus,FALSE,6655,42975,3
348,maruti alto k10,2016,2021-03-31T10:14:31.198,petrol,47833,351199,hyderabad,579,hatchback,,vxi amt,TRUE,8157,52680,2
349,maruti alto k10,2011,2021-03-14T08:28:56.493,petrol,55810,206999,new delhi,548,hatchback,manual,vxi,TRUE,4808,31050,2
350,maruti alto k10,2017,2021-03-20T11:05:53.539,petrol,38079,334299,mumbai,378,hatchback,manual,vxi,TRUE,7765,50145,2
351,maruti swift,2014,2021-03-27T11:02:20.438,petrol,83300,394499,ahmedabad,528,hatchback,manual,vxi,TRUE,9163,59175,1
352,chevrolet beat,2010,2021-04-04T09:33:43.936,petrol,98553,224699,bengaluru,557,hatchback,manual,ls petrol,TRUE,5219,33705,1
353,mahindra xuv500,2015,2021-03-23T12:16:54.548,diesel,113208,918099,new delhi,953,luxury suv,manual,w10,TRUE,21325,137715,1
354,hyundai elite i20,2014,2021-04-22T15:36:30.148,diesel,95243,526999,mumbai,76,hatchback,manual,asta 1.4 crdi,FALSE,12241,79050,1
355,hyundai i20,2010,2021-04-09T13:06:27.821,petrol,87265,268299,mumbai,79,hatchback,manual,asta 1.2,TRUE,6232,40245,1
356,chevrolet aveo u va,2006,2019-08-26T13:53:18.224,petrol & cng,63992,80000,ahmedabad,187,hatchback,manual,ls 1.2,FALSE,1858,12000,2
357,maruti alto,2011,2021-02-26T10:51:37.334,petrol,35039,238599,hyderabad,4266,hatchback,manual,lxi,TRUE,5542,35790,1
358,maruti wagon r 1.0,2012,2021-02-16T14:56:55.97,petrol,53558,279599,mumbai,321,hatchback,manual,vxi,TRUE,6494,41940,1
359,toyota etios liva,2011,2021-03-07T09:00:11.852,petrol,36419,257399,mumbai,1690,hatchback,manual,g,TRUE,5979,38610,2
360,maruti omni e,2015,2021-04-01T05:55:40.023,petrol,67455,280099,bengaluru,1152,,,8 str,FALSE,6506,42015,1
361,maruti swift dzire,2014,2021-04-04T08:48:57.846,petrol,53935,411099,lucknow,3038,sedan,manual,vxi 1.2 bs iv,TRUE,9549,61665,1
362,toyota etios liva,2015,2021-03-14T12:01:29.261,petrol,60954,435099,chennai,602,hatchback,manual,g,TRUE,10106,65265,1
363,maruti dzire,2019,2021-04-24T11:40:42.623,diesel,65709,691699,chennai,183,sedan,manual,vdi,TRUE,16066,103755,1
364,maruti swift,2012,2021-04-06T13:40:48.925,diesel,123846,327799,new delhi,409,hatchback,manual,vdi,TRUE,7614,49170,1
365,maruti baleno,2018,2020-11-28T21:30:05.247,diesel,27623,658899,chennai,1243,hatchback,manual,delta ddis 190,TRUE,15305,98835,1
366,honda city,2017,2021-04-06T07:01:37.784,petrol,57969,790299,ahmedabad,2308,sedan,manual,vx mt petrol,FALSE,18357,118545,1
367,volkswagen polo,2015,2021-03-31T07:03:31.214,petrol,24134,555899,mumbai,1056,hatchback,automatic,gt tsi 1.2 petrol at,TRUE,12912,83385,1
368,hyundai venue,2019,2021-03-27T09:19:37.384,petrol,28932,1071103,mumbai,1090,suv,,1.0 turbo gdi sx+ at,TRUE,24879,160666,1
369,hyundai eon,2015,2021-03-14T06:42:36.428,petrol,82350,260299,ahmedabad,502,hatchback,manual,era plus,FALSE,6046,39045,2
370,mahindra e2o,2016,2019-12-02T04:55:44.105,electric,58133,350000,bengaluru,261,hatchback,manual,t2,TRUE,8130,52500,1
371,maruti wagon r 1.0,2011,2021-02-17T05:51:28.34,petrol,36503,290699,chennai,2027,hatchback,manual,vxi,TRUE,6752,43605,2
372,volkswagen passat,2011,2021-03-20T07:01:17.884,diesel,73715,582899,mumbai,2293,luxury sedan,automatic,highline dsg,TRUE,13539,87435,1
373,honda city,2012,2021-04-10T12:10:20.847,petrol,87615,478299,hyderabad,1505,sedan,manual,v mt petrol,TRUE,11110,71745,1
374,toyota corolla altis,2016,2021-04-19T11:23:49.822,petrol,40705,1122108,mumbai,685,luxury sedan,automatic,vl at,FALSE,26064,168317,1
375,toyota corolla altis,2011,2021-03-11T05:24:19.358,petrol,55925,401099,bengaluru,2685,luxury sedan,,1.8 g,TRUE,9317,60165,4
